A deep understanding of AI large language model mechanisms,,,,
Section name,Video lecture title,Python code file name,Udemy video #,Key take-home points
,Some datasets for instruction tuning,part2_instruct_datasets,122,"Instruction tuning datasets look like a desired chat.
The LLM learns keywords and tags like “question” and “answer”, or “system” and “user”.
The LLM learns to mimic the patterns in the training data, so if the training data look like a chat, the model will learn to chat."
,Training a chatbot with system-user-assistant,-,123,"Yet again: Many ways of training LLMs looks the same: Predict the next token in a sequence.
LLMs combine high-level patterns with detailed contextual and world-knowledge information.
Many token snippets are excluded (“hidden”) from the user during chats.
The system prompt is like an “instruction manual” that describes how the LLM can and should interact with users."
,Instruction tuning with GPT2,part2_instruct_GPT2,124,"Training datasets for chatbots comprise human-written Q&A texts. The LLM learns to emulate the style and tone.
Chatbots don’t “answer” the user; they simply continue the pattern they recognize in the input.
Even GPT2-small can sound authoritative and encyclopedic; this has implications for AI safety."
,CodeChallenge: Instruction tuning GPT2-large (part 1),part2_instruct_CCinstructingGPT2large,125,"LLMs train on such a large number of token sequences that imposing structure that helps us (humans) is not necessarily beneficial to the model.
LLMs learn to recognize, mix, and complete patterns in sequences, regardless of where those sequences start or end.
“Large” models are memory-intensive, not because of the models themselves, but because of all the intermediate activations matrices."
,CodeChallenge: Instruction tuning GPT2-large (part 2),part2_instruct_CCinstructingGPT2large,126,"LLMs train on such a large number of token sequences that imposing structure that helps us (humans) is not necessarily beneficial to the model.
LLMs learn to recognize, mix, and complete patterns in sequences, regardless of where those sequences start or end.
“Large” models are memory-intensive, not because of the models themselves, but because of all the intermediate activations matrices."
,Reinforcement learning from human feedback (RLHF),-,127,"RLHF is designed to align models to human values and human-like behavior, including helpfulness and truthfulness.
RLHF is a complicated process that involves gathering a lot of data and training intermediate models.
Despite its imperfections, RLHF works very well and is key to the success of modern chatbots."
Part 3: Evaluating LLMs,,-,,
Quantitative evaluations,Promises and challenges of quantitative evaluations,-,129,"Quantitative evals have the goal of assessing basic and advanced language capabilities and world-knowledge.
Evals are useful and important, but all tests have limitations.
Different methods target different skills or areas of knowledge, and it is useful to combine many tests.
Eval methods can be short-lived because LLMs can be fine-tuned to perform well on specific tests."
,Numerical issues in logits and softmax,part3_evals_numericalIssuesLogits,130,"Always check your intermediate and final results carefully, and be mindful of numerical issues.
Simple normalizations are often sufficient.
Many PyTorch functions internally safeguard against numerical issues, but confirm rather than assume."
,Perplexity,part3_evals_perplexity,131,"Perplexity is a simple measure of token prediction that can be calculated without access to model internals (need only final output logits).
The score is sensitive to analysis and dataset choices.
Perplexity also provides insights into datasets and sequences, not only into models."
,CodeChallenge: Perplexing perplexities,part3_evals_CCperplexities,132,"Token logits in pretrained models do not follow a uniform distribution.
Perplexity values depend on many factors. When evaluating models using perplexity, match as many parameters as possible (e.g., text, sequence length, stride), and interpret relative (not absolute) perplexity values."
,Masked word prediction accuracy,part3_evals_maskedPredictionsBERT,133,"Token prediction accuracy measures semantic and grammatical capabilities of LLMs.
Categorically incorrect responses should be evaluated for relevance; the purpose of language is to express meaning, not specific tokens."
,HellaSwag,part3_evals_hellaswag,134,"Sentence-level evaluations have advantages over token-level evals, including the ability to assess world knowledge and reasoning.
All evaluation methods have advantages and limitations, because both LLMs and human language are complex, ambiguous, and noisy."
,Import large models using bitsandbytes,part3_evals_bitsandbytes,135,"You can use the bitsandbytes library to import and use lightweight versions of large models.
Training should be done on the max-precision models if possible."
,CodeChallenge: HellaSwag evals in two models (part 1),part3_evals_CChellaModels,136,"The success of the attention mechanism has led to increasing varieties of the basic GPT architecture.
There are many eval methods and none is perfect. It’s good to use several to compare and combine."
,CodeChallenge: HellaSwag evals in two models (part 2),part3_evals_CChellaModels,137,"The success of the attention mechanism has led to increasing varieties of the basic GPT architecture.
There are many eval methods and none is perfect. It’s good to use several to compare and combine."
,KL (Kullback-Leibler) divergence,part3_evals_KLdivergence,138,"KL divergence is a measure of the distance between two probability distributions.
It opens the door to text-level and discourse-level evaluations of global text qualities (c.f. local token-level text features)."
,MAUVE,part3_evals_mauve,139,"The MAUVE score ranges between 0 and 1, and reflects how much LLM-generated text “looks like” (has similar distribution characteristics to) human-written text."
,CodeChallenge: Large and small MAUVE explorations,part3_evals_CCmauveVariability,140,"A general statistical principle in science is to average multiple noisy measurements in hopes of more accurately assessing characteristics and capabilities.
Aggregated measures still pose challenges, however, particularly in terms of getting a sufficient amount of appropriate model-product text."
,SuperGLUE and other amalgamations,-,141,"That the diversity and imperfections of individual evaluation methods can be countered by aggregating results across many evals.
That there are many aggregated LLM evaluation aggregations. Some are more general while others are targeted for specific knowledge domains."
,Assessing bias and fairness,-,142,"LLMs can exhibit biases against certain groups.
These biases can be trained out to some extent via RLHF or data relabeling.
LLM biases are not formed “naturally,” but instead are learned from human text."
,Non-technical benchmarks,-,143,"Statistical measures of task performance are useful, but there are many other ways to think about the impact of LLMs from commercial and culture perspectives."
Qualitative evaluations,Black box evals,-,144,"Black box evaluations are important and have revealed many serious safety risks of LLMs.
However, black box evals only identify existing issues that users happen to search for; they cannot predict potential risks or identify underlying mechanisms that create those risks."
,Red-teaming,-,145,"“Red-teaming” refers to trained security experts using adversarial attacks to discover security, privacy, or safety risks.
The advantages and limitations of red-teaming safety evaluations."
,"Accuracy, coherence, and relevance",-,146,"Some qualities of language are subjective, yet are desired features of a language model.
“Human-in-the-loop” evaluation can be high quality, but increases costs and can be more variable.
LLMs can do “subjective evaluations,” but that risks low-quality training."
,Distributions of hidden-state activations,part3_evals_variousVisualizations,147,"The internals of the models can be extracted and explored. This is key to mechanistic interpretability and technical AI safety.
LLMs are sufficiently complex systems that having access to all the numbers (weights and activations) does not necessarily lead to understanding.
Mechanistic interpretability is a nascent and exciting field in research and AI safety solutions."
,Heatmaps of tokens for qualitative inspection,part3_evals_textHeatmaps,148,"Text heatmaps are compelling visualization tools that can facilitate understanding how LLM calculations relate to tokens.
Text heatmaps suffer from several issues, including scaling, selection bias, non-representative examples, and overinterpretation. "
,CodeChallenge: Visualize single-token predictions,part3_evals_CCheatmapTokenPredictions,149,"The final output logits of token N predict token N+1.
Similarity of final outputs does not imply similarity of internal calculations and representations.
Text heatmaps are fun to look at, and can be insightful."
Part 4: Overview of AI safety and mechinterp,,,,
AI safety,AI safety and alignment,-,151,"AI safety involves technical and legal measures to guide AI development towards maximal benefits with minimal risk.
AI safety is increasingly important, yet receives relatively little funding and research attention.
Aligning AI to human values raises deep philosophical, legal, cultural, and historical questions."
,Why can't AI just be safe and moral?,-,152,"LLMs understand human morality and ethics as token sequence patterns, just like they understand how to write LinkedIn posts or any other pattern.
LLMs can be misused by bad actors, or can act in immoral ways on their own.
Moral decision-making may conflict with profit motives of AI development companies."
,In-context and few-shot learning,-,153,"ICL is the remarkable ability for LLMs to learn and accurately perform novel tasks without adjusting weights or fine-tuning.
ICL is a challenge for AI safety, because it is difficult to control for unsafe abilities that are not built into the model during training."
,Scaling and AI safety,-,154,"Scaling laws describe the past but cannot guarantee the future.
Future AI capabilities may vastly exceed current capabilities — or may be only marginally better.
Many people have many motivations to hype future AI capabilities beyond what may be realistic."
,Hands-on: Hack an AI to steal a password!,-,155,A fun little demo where you try to convince an LLM to give you a secret password.
,How to get involved in AI safety,-,156,"AI safety is increasingly important, but lags far behind AI development.
There are many formal and informal ways to get involved in AI safety, all of which start from understanding LLM architectures and mechanisms."
Interpretability,"What is ""mech interp"" (mechanistic interpretability)?",-,157,"Mechanistic interpretability is the attempt to understand LLM mechanisms by reverse-engineering.
It is a surprising difficult problem due to the enormity and complexity of the models, and the lack of ground truth verification.
The field is new and struggles from reproducibility, concrete applications, and a reliance on empirical observations rather than theoretical foundations."
,How does mech interp relate to AI safety?,-,158,"Mechanistic interpretability will lead to a more precise understanding of LLMs and AI.
Improved interpretability could be beneficial and/or harmful for AI safety, depending on its success and impact on AI development."
,Concepts and terms in mech interp,-,159,"Terminology is an important part of learning a new area of knowledge.
Some terms and concepts are good to know in advance; others you learn on-the-fly."
,Theoretical and empirical approaches in research and teaching,-,160,"Both theory and data analysis are crucial for development of LLM understanding and AI safety.
This course is more focused on analysis methods, because they provide a solid and lasting foundation for LLMs and myriad other ML applications.
If you want to contribute to the mechanistic interpretability field, you can learn theories and speculative interpretations in blogs and papers."
,General criticisms of mechanistic interpretability ,-,161,"There are several valid criticisms of mechanistic interpretability.
Criticisms should be embraced and taken as an opportunity to do better. The potential impact of mech interp is high, and literally everything that humans do can be criticized.
On the other hand, avenues of research that are clearly ineffective or non-reproducible should be learned from and left behind."
Part 5: Observation (non-causal) mech interp,,,,
Investigating token embeddings (part 1),CodeChallenge: Cosine similarity (advanced) (part 1),part5_embeddings_CCcosineSimilarity,163,"Pytorch functions take some getting used to…
Cosine similarity matrices are compact representations of pairwise linear interactions. They can be used in bivariate and multivariate analyses (e.g., pattern analysis, clustering, SVD)."
,CodeChallenge: Cosine similarity (advanced) (part 2),part5_embeddings_CCcosineSimilarity,164,"Pytorch functions take some getting used to…
Cosine similarity matrices are compact representations of pairwise linear interactions. They can be used in bivariate and multivariate analyses (e.g., pattern analysis, clustering, SVD)."
,CodeChallenge: Cosine similarity in word sequences,part5_embeddings_CCsequentialCosines,165,"Studying relationships in embeddings matrices can be interesting and thought-provoking, but static embeddings cannot capture the re-interpretations of words that is necessary for realistic communication."
,CodeChallenge: Coloring cosine similarity,part5_embeddings_CCheatmapsCossim,166,"Tokens that convey less contextual or semantic meaning tend to have shorter embeddings vectors. Shorter vectors are less impactful in dot product calculations.
Embeddings and cosine similarity can be used in many ways to reveal the structure of language (as it appears in the training set)."
,CodeChallenge: Can random embeddings be interpreted?,part5_embeddings_CCinterpRandomEmbeds,167,"Interpreting patterns in noise is dangerously easy. Generalizing from patterns in small datasets is one of the most important functions of the nervous system…
Be cautious about interpreting findings in complex systems, especially when using small datasets and without proper statistical validation."
,T-SNE projection and DBSCAN clustering (theory),-,168,"T-SNE and clustering can be insightful methods to group and characterize high-dimensional data.
Both methods are sensitive to parameter choices.
There are several dimension-reduction and clustering methods; it’s a good idea to test several. Don’t rely on one run from one method with one parameter setting."
,T-SNE projection and DBSCAN clustering (Python),part5_embeddings_TSNEclust,169,"T-SNE and clustering can be insightful methods to group and characterize high-dimensional data.
Both methods are sensitive to parameter choices.
There are several dimension-reduction and clustering methods; it’s a good idea to test several. Don’t rely on one run from one method with one parameter setting."
,"CodeChallenge: cluster the ""x"" terms",part5_embeddings_CCtSNE,170,"Selecting internal model representations by linguistic category or feature is easy and can be interesting.
Always inspect dimension-reduction and clustering results carefully before interpretations.
DBSCAN can be very to parameter settings, and it is often difficult to know what to set the parameters to."
,"CodeChallenge: Tokenize, embed, and cluster happy emojis",part5_embeddings_CCemoji,171,"Emojis are multitoken characters, and have embeddings just like any other token.
Multitoken words bring ambiguity: Is averaging their component token embeddings valid?
If analysis results seem puzzling or wrong, it is possible that our assumptions are wrong."
,RSA (representational similarity analysis),part5_embeddings_RSA,172,"RSA allows you to compare representations of tokens in different models, layers, or measurements (e.g., LLM vs. human brain).
There are many variants and extensions of RSA for specific data types or hypotheses.
The results of an RSA are limited to the items (e.g., token embeddings) used in the analysis."
,CodeChallenge: Compare embeddings with RSA (part 1),part5_embeddings_CCembeddingsRSA,173,"Your toolkit of analysis methods is growing :)
More dimensions seems to be beneficial for increasing category selectivity of word embeddings (based on our small sample)."
,CodeChallenge: Compare embeddings with RSA (part 2),part5_embeddings_CCembeddingsRSA,174,"Your toolkit of analysis methods is growing :)
More dimensions seems to be beneficial for increasing category selectivity of word embeddings (based on our small sample)."
,CodeChallenge: Word2vec vs. GPT2,part5_embeddings_CCword2vecVsGpt2,175,"Cosine similarity is sensitive to mean offsets, which is a desired feature in some situations but can be a confound in other situations.
RSA indicates that relative word embeddings seem reasonably consistent in word2vec and GPT2.
"
,CodeChallenge: Graph representation of cosine similarities,part5_embeddings_CCgraphs,176,"Similarity metrics can be visualized in multiple ways.
Some visualization methods look nice but are not very insightful.
Many graphs can be created without libraries. Writing your own code can be elucidating but not necessarily advantageous."
,Embeddings arithmetic and analogies,part5_embeddings_analogyVectors,177,"Embeddings vectors are just vectors; any geometric or linear-algebra operation can be implemented.
“Semantic axes” based on vector arithmetic is compelling and simple, and seems to work in isolated cases (see also next two videos).
Assuming linearity can help with analyses and interpretations, but risks misinterpretation."
,CodeChallenge: soft-coded analogies in word2vec,part5_embeddings_CC300softAnalogies,178,"Language models are fun to work with ;)
Differences in training between word2vec and GloVe.
Analogy vectors created from simple arithmetic do capture meaningful semantic relationships."
,"Creating and interpreting linear ""semantic axes""",part5_embeddings_semanticAxesNorm,179,"Normalization, regularization, selection, and other (often post-hoc) techniques are often necessary to get satisfactory results.
Adding, subtracting, and scaling (normalizing) embeddings vectors is how the transformer attention mechanism works!"
,kNN for synonym-searching in BERT,part5_embeddings_knnBERT,180,"kNN (k-nearest neighbor) is a simple and versatile algorithm that can be used for classification or nuclear sampling.
There are many measures of distance (similarity); some are comparable while others are not.
BERT embeddings seem to allow for distance-based synonyms.
"
,CodeChallenge: BERT v GPT kNN kompetition,part5_embeddings_CCknnBertGPT,181,"Many analyses in machine-learning and linear algebra can be applied to many types of data and for many hypotheses and explorations.
Spacing in tokens and normalizations can have a significant impact on results of analyses based on vector calculations (distance, similarity, correlation)."
,Research on translating embeddings spaces,-,182,"There is active and ongoing research on translating between embeddings vectors in different models.
There are both conceptual and statistical challenges, and successful translations is not guaranteed.
If successful, it would imply some underlying universal space of language representation."
,Singular value spectrum of embeddings submatrices,part5_embeddings_SVDspectrum,183,"SVD is an advanced matrix decomposition that can be very insightful (e.g., PCA) but also requires more linear algebra background to fully appreciate.
SVD can be used to identify “semantic basis vectors” of a submatrix of embeddings for related tokens.
SVD linearly rotates the embeddings subspace; the basis vectors will be interpretable only if the data have structure to identify.
SVD is like a “data-informed weighted average” and should perform better than a simple vector average."
,CodeChallenge: SVD projections of related embeddings,part5_embeddings_CCSVDprojections,184,"SVD, like all other analyses of complex data, can be insightful or confusing (or both), and often raises more questions than answers.
LLM embeddings matrices are designed to be starting-points for subsequent modifications, so these analyses are likely to be more insightful when applied to internal and/or final model calculations."
Investigating neurons and dimensions,Activation maximization via gradient ascent (theory),-,185,"Activation maximization is a technique to discover features that activate individual neurons in a DL model.
It is built on questionable assumptions, but seems to work for vision models.
LLMs may violate the assumptions too strongly to provide meaningful insights into LLM mechanisms."
,Activation maximization (code),part5_neurons_activationMaximization,186,"If you can specify a loss function, you can optimize it using gradient descent.
Some interpretability method that have proven insightful for some model architectures (e.g., CNNs) may not be useful for other architectures (e.g., LLMs).
Even techniques that fail to reveal mechanisms provide important insights and increase “forensic” and coding skills."
,Activation maximization via data sampling,part5_neurons_actMaxSampling,187,"Data sampling for activation maximization is conceptually simple and likely to be interpretable.
It has been used in computer vision models to understand how image features like color, shape, and category are represented.
Scaling issues and context-dependency makes this method less promising for LLMs, especially without clear hypotheses to minimize the search space."
,CodeChallenge: Reproducibility of activation maximization,part5_neurons_CCactMaxRepeat,188,"Individual dimensions in an LLM don’t seem to be “tuned” to specific tokens.
Although we haven’t ruled out that this happens at a finer resolution (e.g., inside attention or MLP), lack of single-unit specificity is a common finding in DL.
This is consistent with the very large vocab and pretraining procedure (e.g., dropout, weight decay)."
,"Extracting activations using ""hooks""",part5_neurons_PytorchHook,189,"“Hooks” are functions you can implant into a PyTorch model, that allow you to access its activations during a forward pass.
Hooks can slow performance, and so should be used only when accessing internals; they can be removed during inference or when not needed."
,Relation between hooks and output.hidden_states,part5_neurons_hookVsHiddenStates,190,"The “hidden states” provided by HuggingFace are the final outputs of each transformer block, which can be reconstructed as the previous plus the attention and MLP adjustments.
Embeddings vectors pass through the LLM, and are adjusted by each transformer layer. Hooks allow you to access all the adjustments."
,Clarification of final hidden_states output,part5_neurons_hookVsFinalHS,191,"The final hidden_states layer is the final transformer block pushed through the final layer-norm transformation. For this reason, the final hidden_states layer may show different patterns of activity compared to earlier hidden_states."
,CodeChallenge: Grammar tuning in MLP neurons? (part 1),part5_neurons_CCtuningNeo,192,"Identifying category-specific neurons is challenging, due to context-dependency of token processing.
Always confirm findings in out-of-sample datasets."
,CodeChallenge: Grammar tuning in MLP neurons? (part 2),part5_neurons_CCtuningNeo,193,"Identifying category-specific neurons is challenging, due to context-dependency of token processing.
Always confirm findings in out-of-sample datasets."
,CodeChallenge: Context-modulated activation in MLP,part5_neurons_CCcontextComplexities,194,"LLM activations are highly context-dependent, which poses a challenge That internal activations depend on spaces in words (because those correspond to different tokens).
The differences between single-token and in-context token processing.
Why context is a crucial challenge in mech interp research."
,CodeChallenge: Activation histograms by token length (part 1),part5_neurons_CCactivationByLength,195,"Processing in early transformer blocks is more closely related to “superficial” token features, such as length.
Repeating analyses over layers can be insightful.
Even in coarse-grained analyses, larger models do not necessarily behave like smaller models, which means the universality assumption needs to be carefully checked before being used in interpretation."
,CodeChallenge: Activation histograms by token length (part 2),part5_neurons_CCactivationByLength,196,"Processing in early transformer blocks is more closely related to “superficial” token features, such as length.
Repeating analyses over layers can be insightful.
Even in coarse-grained analyses, larger models do not necessarily behave like smaller models, which means the universality assumption needs to be carefully checked before being used in interpretation."
,CodeChallenge: Activation histograms by token length (part 3),part5_neurons_CCactivationByLength,197,"Processing in early transformer blocks is more closely related to “superficial” token features, such as length.
Repeating analyses over layers can be insightful.
Even in coarse-grained analyses, larger models do not necessarily behave like smaller models, which means the universality assumption needs to be carefully checked before being used in interpretation."
,Dealing with multitoken word embeddings,part5_neurons_multitokenWords,198,"For multitoken target words, analyze the final token in the word.
The first token of a multitoken word contains no information about the rest of the tokens, whereas the final token is modulated by all previous tokens.
Identifying the final token position in a sequence can be tricky. Check your code for accuracy!"
,CodeChallenge: Category-tuned MLP projections (part 1),part5_neurons_CCmultiTokenTtests,199,"Multitoken words require additional considerations; taking the final token is generally the best approach.
The multitude of category-tuned neurons implies distributed circuits of representations.
Confirming results in unseen (test) data is generally easier in LLMs compared to other domains, and should be done in research."
,CodeChallenge: Category-tuned MLP projections (part 2),part5_neurons_CCmultiTokenTtests,200,"Multitoken words require additional considerations; taking the final token is generally the best approach.
The multitude of category-tuned neurons implies distributed circuits of representations.
Confirming results in unseen (test) data is generally easier in LLMs compared to other domains, and should be done in research."
,Classification via logistic regression: theory and code,part5_neurons_logisticRegression,201,"Logistic regression allows you to predict a binary category label using data such as activation values.
Logistic regression is a cornerstone analysis in machine-learning, including mechanistic interpretability.
Logistic regression can be implemented in several libraries including PyTorch (using gradient descent), although statsmodels provides the most information."
,Logistic regression vs. t-test: assumptions and applications,part5_neurons_logregTtest,202,"T-tests and logistic regressions can provide similar results, but are based on different assumptions and formulas.
Use a t-test to compare two groups, and a logistic regression to make single-sample predictions about category labels.
Data simulations and visualizations are powerful tools to understand statistics and machine-learning analyses."
,Proper noun tuning in GPT2-medium,part5_neurons_classifyProperNouns,203,"Logistic regression is a common tool in mechanistic interpretability to identifying “tuning” in neurons, circuits, and dimensions.
Multi-dimensional visualizations can help interpret and contextualize results — and identify problems or subsequent analyses.
Whenever possible, confirm findings in new samples to avoid improperly interpreting overfitting."
,CodeChallenge: Negation tuning in MLP neurons (part 1),part5_neurons_CCclassifyNegationsMLP,204,"How to identify words in categories.
How to run mass-univariate classification analyses using logistic regression.
More ways of creating hooks.
That numbers (statistical results) don’t tell the whole story — multiple forms of visualization are necessary for proper interpretation."
,CodeChallenge: Negation tuning in MLP neurons (part 2),part5_neurons_CCclassifyNegationsMLP,205,"How to identify words in categories.
How to run mass-univariate classification analyses using logistic regression.
More ways of creating hooks.
That numbers (statistical results) don’t tell the whole story — multiple forms of visualization are necessary for proper interpretation."
,CodeChallenge: Negation tuning in MLP neurons (part 3),part5_neurons_CCclassifyNegationsMLP,206,"How to identify words in categories.
How to run mass-univariate classification analyses using logistic regression.
More ways of creating hooks.
That numbers (statistical results) don’t tell the whole story — multiple forms of visualization are necessary for proper interpretation."
,CodeChallenge: Negation tuning in QVK neurons,part5_neurons_CCclassifyNegationsQKV,207,"Taking the time to understand code is a wise investment, because you will likely reuse the same code many times.
Summary statistics and relations to token types are often similar in QVK and MLP neurons."
Investigating layers,"Token-related similarities within and across Q, K, V matrices (part 1)",part5_layer_cossimsQKV,208,"Cosine similarity and correlation coefficient can give very different results, depending on mean offsets.
There are lots of curious patterns inside LLMs! Keep a curious and courageous attitude when exploring DL models.
Q and K vectors tend to be more similar, and V tends to be more distinct. That’s consistent with their computational organization in the attention algorithm."
,"Token-related similarities within and across Q, K, V matrices (part 2)",part5_layer_cossimsQKV,209,"Cosine similarity and correlation coefficient can give very different results, depending on mean offsets.
There are lots of curious patterns inside LLMs! Keep a curious and courageous attitude when exploring DL models.
Q and K vectors tend to be more similar, and V tends to be more distinct. That’s consistent with their computational organization in the attention algorithm."
,CodeChallenge: Token-related similarities across layers,part5_layer_CCcossimsQKVlayers,210,"Coarse-grained analyses can facilitate a “holistic” understanding of LLMs, but are less able amenable to targeted insights and hypothesis-testing.
Token embeddings vectors transition from the current token to a prediction about the next token, as it passes through the LLM.
Multiple visualizations can yield different insights."
,Grouping and RSA in Q and K matrices,part5_layer_semanticGroupsRSA,211,"RSA is a useful analysis for comparing similarities of token embeddings across matrices or layers.
Query vectors represent the current token (here, different in each sequence) while key vectors represent contextual tokens (here, identical in each sequence)."
,CodeChallenge: Laminar profile of RSA and category selectivity,part5_layer_CClayerGroupingRSA,212,"Token selectivity varies by attention matrix and layer.
Different analyses of the same data (e.g., RSA vs. selectivity) can identify different patterns and reveal distinct insights."
,"""Effective dimensionality"" analysis with PCA",part5_layer_effectiveDimensionality,213,"“Effective dimensionality” is a versatile and generic analysis method that can be applied to many multivariate datasets.
Dimensionality provides insights into the complexity of the processing, because more complex calculations require more dimensions.
“Linear” must be interpreted cautiously in DL, because all linear interactions take place between a multitude of nonlinear transformations."
,CodeChallenge: Dimensionalities in Pythia 2.3B,part5_layer_CCdimensionalityPythia,214,"Effective dimensionality fluctuates over layers, as the models need more or less complex representations.
Many analyses in LLMs can give very different results when different texts are used. This needs to be carefully considered in mech interp research.
Deeper insights can be obtained in follow-up research to determine the “width” of the dimensions, and the nature of the calculations in those dimensions."
,Mutual information: theory and code,part5_layer_mutualInformation,215,"Mutual information is a non-negative measure that quantifies statistical dependencies between two data sources.
The mutual information value on its own does not distinguish between linear vs. non-linear dependencies, or between positive vs. negative relationships.
Mutual information is easy to implement in Python, but can be slow for many interaction pairs."
,Pairwise mutual information through the LLM,part5_layer_MIhiddenStates,216,"Mutual information can be easily integrated into a mechanistic interpretability analysis pipeline.
The parameter-sensitivity of MI means that relative values are more safely interpreted.
MI over tokens per dimension-pair is not necessarily the best approach for practical and interpretational reasons."
,Mutual information vs. covariance,part5_layer_MIvsCovariance,217,"Mutual information and covariance are related but distinct measures of bivariate dependencies.
Covariance is often preferred because it is the basis for many additional analyses including PCA, dimensional analysis, and clustering.
MI can be used when the relationships are nonlinear or the sign won’t be interpreted.
Translating the math into code introduces biases and risks numerical issues, but the bias is constant and it’s faster than Sklearn’s version."
,CodeChallenge: Attention to coffee: MI and token distances (part 1),part5_layer_CCMIcoffee,218,"Token-pair-based MI is faster and more interpretable, and addresses some statistical issues like sample sizes.
Extreme activation values may be important for internal calculations, but create statistical estimation problems in MI and many other analyses.
MI is higher in early MLP layers and higher in later attention layers, reflecting a “passing off” of context-based processing.
Tokens further apart in the text generally have less common context, and therefore lower MI."
,CodeChallenge: Attention to coffee: MI and token distances (part 2),part5_layer_CCMIcoffee,219,"Token-pair-based MI is faster and more interpretable, and addresses some statistical issues like sample sizes.
Extreme activation values may be important for internal calculations, but create statistical estimation problems in MI and many other analyses.
MI is higher in early MLP layers and higher in later attention layers, reflecting a “passing off” of context-based processing.
Tokens further apart in the text generally have less common context, and therefore lower MI."
,CodeChallenge: Clusters in internal vs. terminal punctuation (part 1),part5_layer_CCpunctuationMI,220,"Well-done data science asks more questions than it answers ;)
Covariance and mutual information can give qualitatively different results and lead to different insights.
The MI calculation removes the scale of the data while covariance preserves scale. Covariances should be normalized (i.e., Pearson correlation) if comparisons are made across variables with different variances."
,CodeChallenge: Clusters in internal vs. terminal punctuation (part 2),part5_layer_CCpunctuationMI,221,"Well-done data science asks more questions than it answers ;)
Covariance and mutual information can give qualitatively different results and lead to different insights.
The MI calculation removes the scale of the data while covariance preserves scale. Covariances should be normalized (i.e., Pearson correlation) if comparisons are made across variables with different variances."
,The Logit Lens,part5_layer_logitlens,222,"The Logit Lens analysis involves examining the predicted token from each transformer layer output.
It can be used to explore how LLMs transition from the current to the subsequent token.
Even when the prediction is categorically incorrect, the prediction can be context-appropriate.
There are several additional metrics that can be extracted and visualized, including token rank and KL divergence."
,CodeChallenge: Logit Lens in BERT (part 1),part5_layer_CClogitBertZ,223,"Analyses often need minor modifications for different models with different architectures or naming conventions.
Transitions into the final token can be sudden, indicating a sharp “phase transition” in internal processing.
The Logit Lens approach can be adapted to other internal calculations and metrics. Check the original post for more ideas and applications."
,CodeChallenge: Logit Lens in BERT (part 2),part5_layer_CClogitBertZ,224,"Analyses often need minor modifications for different models with different architectures or naming conventions.
Transitions into the final token can be sudden, indicating a sharp “phase transition” in internal processing.
The Logit Lens approach can be adapted to other internal calculations and metrics. Check the original post for more ideas and applications."
Investigating token embeddings (part 2),Calculating rotations of embeddings vectors,part5_token_embeddingsAngleChange,225,"Many concepts in linear algebra and geometry can be useful in mechanistic interpretability. The field of mech interp is still young and there is room for growth!
Random pairs of embeddings vectors tend to be roughly orthogonal.
Various features and metrics suggest smooth or discontinuous changes across the transformer blocks. How these all fit together remains a major challenge."
,CodeChallenge: Laminar evolution of sequential angular adjustments,part5_token_CCpairwiseAngles,226,"Angle changes between tokens are less interpretable than changes of the same token across layers.
When you see a curious or unexpected finding, check for coding bugs or data issues, then investigate by separating the data and lots of visualizations!
LLMs take a few tokens to “load in” a context. Therefore, the first few tokens should not be interpreted in analyses."
,Path length and logit token prediction,part5_token_pathlengthLogits,227,"Path length is an interesting metric that provides insights into how much the embeddings vectors change through the model.
Generalization can be difficult in LLMs. Universality is not guaranteed, and should not be assumed."
,CodeChallenge: Residual stream decomposition of path lengths  (part 1),part5_token_CCpathlengthDecomposition,228,"Attention and MLP subblock adjustments are largely orthogonal. They provide unique information to adjusting the token embeddings vectors.
Both contribute to the embeddings adjustments, although MLP makes a stronger contribution (somewhat tautological).
The first token in a sequence “loads in” the context, and behaves differently from all subsequent tokens."
,CodeChallenge: Residual stream decomposition of path lengths  (part 2),part5_token_CCpathlengthDecomposition,229,"Attention and MLP subblock adjustments are largely orthogonal. They provide unique information to adjusting the token embeddings vectors.
Both contribute to the embeddings adjustments, although MLP makes a stronger contribution (somewhat tautological).
The first token in a sequence “loads in” the context, and behaves differently from all subsequent tokens."
,State-space trajectories through embedding space,part5_token_trajectories,230,"High-dimensional vectors can be visualized and quantified using low-dimensional projections.
PCA projections are fast, linear, and reproducible, and based on the assumption “variance = relevance.” Other compression methods (e.g., tSNE) might be useful.
State-space trajectories can reveal dynamics and differences that might be otherwise obscured."
,Parts of speech with SpaCy library,part5_token_SpaCy,231,"The SpaCy library is fast and easy to use to detect part of speech (and many other applications).
Some text processing is necessary when categorizing POS from LLM-tokenized text.
Using SpaCy for POS identification in LLM mech interp may require additional considerations due to discrepancies between tokenizers."
,CodeChallenge: Do nouns or adjectives have longer trajectories? (part 1),part5_token_CCadjNounTrajectories,232,"POS can be challenging to identify at scale (minimal human oversight) with different tokenizers.
Nouns tend to require longer-range contextual dependencies to interpret, whereas adjectives provide local context to neighboring words."
,CodeChallenge: Do nouns or adjectives have longer trajectories? (part 2),part5_token_CCadjNounTrajectories,233,"POS can be challenging to identify at scale (minimal human oversight) with different tokenizers.
Nouns tend to require longer-range contextual dependencies to interpret, whereas adjectives provide local context to neighboring words."
